"";"CrossVal";"VarSel";"numGenes";"Classif";"misclassification";"sensitivity";"specificity"
"DLDA";"fiveF";"tttest";2;"dldaCMA";0,377435897435897;0,201666666666667;0,802222222222222
"knn";"fiveF";"tttest";2;"knnCMA";0,364358974358974;0,198333333333333;0,82
"rf";"fiveF";"tttest";2;"rfCMA";0,408205128205128;0,19;0,762222222222222
"scDA";"fiveF";"tttest";2;"scdaCMA";0,361794871794872;0,168333333333333;0,837777777777778
"svm";"fiveF";"tttest";2;"svmCMA";0,355;0,168333333333333;0,846666666666667
"DLDA2";"fiveF";"tttest";5;"dldaCMA";0,394487179487179;0,193333333333333;0,78
"knn2";"fiveF";"tttest";5;"knnCMA";0,378076923076923;0,163333333333333;0,815555555555556
"rf2";"fiveF";"tttest";5;"rfCMA";0,395769230769231;0,19;0,78
"scDA2";"fiveF";"tttest";5;"scdaCMA";0,383717948717949;0,178333333333333;0,802222222222222
"svm2";"fiveF";"tttest";5;"svmCMA";0,383461538461538;0,158333333333333;0,811111111111111
"DLDA3";"fiveF";"tttest";10;"dldaCMA";0,390769230769231;0,25;0,762222222222222
"knn3";"fiveF";"tttest";10;"knnCMA";0,363205128205128;0,22;0,813333333333333
"rf3";"fiveF";"tttest";10;"rfCMA";0,359358974358974;0,175;0,837777777777778
"scDA3";"fiveF";"tttest";10;"scdaCMA";0,37525641025641;0,24;0,788888888888889
"svm3";"fiveF";"tttest";10;"svmCMA";0,37525641025641;0,208333333333333;0,802222222222222
"DLDA4";"fiveF";"tttest";25;"dldaCMA";0,417820512820513;0,188333333333333;0,751111111111111
"knn4";"fiveF";"tttest";25;"knnCMA";0,362435897435897;0,095;0,866666666666667
"rf4";"fiveF";"tttest";25;"rfCMA";0,356025641025641;0,101666666666667;0,873333333333333
"scDA4";"fiveF";"tttest";25;"scdaCMA";0,419230769230769;0,178333333333333;0,753333333333333
"svm4";"fiveF";"tttest";25;"svmCMA";0,407692307692308;0,195;0,762222222222222
"DLDA5";"fiveF";"rfe";2;"dldaCMA";0,352179487179487;0,0616666666666667;0,893333333333333
"knn5";"fiveF";"rfe";2;"knnCMA";0,388974358974359;0,155;0,804444444444444
"rf5";"fiveF";"rfe";2;"rfCMA";0,415384615384615;0,125;0,777777777777778
"scDA5";"fiveF";"rfe";2;"scdaCMA";0,316538461538462;0,0116666666666667;0,966666666666667
"svm5";"fiveF";"rfe";2;"svmCMA";0,299230769230769;0,005;0,993333333333333
"DLDA6";"fiveF";"rfe";5;"dldaCMA";0,396410256410256;0,171666666666667;0,784444444444444
"knn6";"fiveF";"rfe";5;"knnCMA";0,367692307692308;0,138333333333333;0,84
"rf6";"fiveF";"rfe";5;"rfCMA";0,387179487179487;0,103333333333333;0,826666666666667
"scDA6";"fiveF";"rfe";5;"scdaCMA";0,327051282051282;0,0566666666666667;0,931111111111111
"svm6";"fiveF";"rfe";5;"svmCMA";0,320897435897436;0,03;0,951111111111111
"DLDA7";"fiveF";"rfe";10;"dldaCMA";0,416794871794872;0,216666666666667;0,737777777777778
"knn7";"fiveF";"rfe";10;"knnCMA";0,412179487179487;0,143333333333333;0,777777777777778
"rf7";"fiveF";"rfe";10;"rfCMA";0,382307692307692;0,075;0,846666666666667
"scDA7";"fiveF";"rfe";10;"scdaCMA";0,34474358974359;0,0866666666666667;0,895555555555556
"svm7";"fiveF";"rfe";10;"svmCMA";0,379358974358974;0,136666666666667;0,824444444444444
"DLDA8";"fiveF";"rfe";25;"dldaCMA";0,422307692307692;0,258333333333333;0,713333333333333
"knn8";"fiveF";"rfe";25;"knnCMA";0,387179487179487;0,135;0,817777777777778
"rf8";"fiveF";"rfe";25;"rfCMA";0,36;0,0333333333333333;0,895555555555556
"scDA8";"fiveF";"rfe";25;"scdaCMA";0,391794871794872;0,171666666666667;0,793333333333333
"svm8";"fiveF";"rfe";25;"svmCMA";0,431923076923077;0,188333333333333;0,728888888888889
"DLDA9";"fiveF";"lasso";2;"dldaCMA";0,398717948717949;0,196666666666667;0,775555555555556
"knn9";"fiveF";"lasso";2;"knnCMA";0,406153846153846;0,226666666666667;0,751111111111111
"rf9";"fiveF";"lasso";2;"rfCMA";0,410897435897436;0,223333333333333;0,746666666666667
"scDA9";"fiveF";"lasso";2;"scdaCMA";0,365384615384615;0,168333333333333;0,833333333333333
"svm9";"fiveF";"lasso";2;"svmCMA";0,393589743589744;0,196666666666667;0,782222222222222
"DLDA10";"fiveF";"lasso";5;"dldaCMA";0,400897435897436;0,216666666666667;0,762222222222222
"knn10";"fiveF";"lasso";5;"knnCMA";0,386282051282051;0,17;0,802222222222222
"rf10";"fiveF";"lasso";5;"rfCMA";0,378461538461538;0,208333333333333;0,797777777777778
"scDA10";"fiveF";"lasso";5;"scdaCMA";0,377051282051282;0,208333333333333;0,8
"svm10";"fiveF";"lasso";5;"svmCMA";0,405641025641026;0,245;0,744444444444444
"DLDA11";"fiveF";"lasso";10;"dldaCMA";0,370769230769231;0,233333333333333;0,797777777777778
"knn11";"fiveF";"lasso";10;"knnCMA";0,398846153846154;0,191666666666667;0,775555555555556
"rf11";"fiveF";"lasso";10;"rfCMA";0,367051282051282;0,155;0,835555555555555
"scDA11";"fiveF";"lasso";10;"scdaCMA";0,372435897435897;0,198333333333333;0,811111111111111
"svm11";"fiveF";"lasso";10;"svmCMA";0,380512820512821;0,248333333333333;0,777777777777778
"DLDA12";"fiveF";"lasso";25;"dldaCMA";0,392692307692308;0,223333333333333;0,771111111111111
"knn12";"fiveF";"lasso";25;"knnCMA";0,402948717948718;0,185;0,773333333333333
"rf12";"fiveF";"lasso";25;"rfCMA";0,357692307692308;0,128333333333333;0,86
"scDA12";"fiveF";"lasso";25;"scdaCMA";0,381923076923077;0,198333333333333;0,797777777777778
"svm12";"fiveF";"lasso";25;"svmCMA";0,38974358974359;0,233333333333333;0,771111111111111
"DLDA13";"mccv";"tttest";2;"dldaCMA";0,395454545454545;0,208571428571429;0,789333333333333
"knn13";"mccv";"tttest";2;"knnCMA";0,413636363636364;0,194285714285714;0,769333333333333
"rf13";"mccv";"tttest";2;"rfCMA";0,423636363636364;0,197142857142857;0,753333333333333
"scDA13";"mccv";"tttest";2;"scdaCMA";0,370909090909091;0,165714285714286;0,845333333333333
"svm13";"mccv";"tttest";2;"svmCMA";0,387272727272727;0,171428571428571;0,818666666666667
"DLDA14";"mccv";"tttest";5;"dldaCMA";0,410909090909091;0,188571428571429;0,776
"knn14";"mccv";"tttest";5;"knnCMA";0,412727272727273;0,145714285714286;0,793333333333333
"rf14";"mccv";"tttest";5;"rfCMA";0,422727272727273;0,148571428571429;0,777333333333333
"scDA14";"mccv";"tttest";5;"scdaCMA";0,400909090909091;0,148571428571429;0,809333333333333
"svm14";"mccv";"tttest";5;"svmCMA";0,418181818181818;0,168571428571429;0,774666666666667
"DLDA15";"mccv";"tttest";10;"dldaCMA";0,446363636363636;0,174285714285714;0,730666666666667
"knn15";"mccv";"tttest";10;"knnCMA";0,413636363636364;0,125714285714286;0,801333333333333
"rf15";"mccv";"tttest";10;"rfCMA";0,414545454545455;0,111428571428571;0,806666666666667
"scDA15";"mccv";"tttest";10;"scdaCMA";0,43;0,151428571428571;0,765333333333333
"svm15";"mccv";"tttest";10;"svmCMA";0,411818181818182;0,185714285714286;0,776
"DLDA16";"mccv";"tttest";25;"dldaCMA";0,444545454545455;0,165714285714286;0,737333333333333
"knn16";"mccv";"tttest";25;"knnCMA";0,405454545454545;0,0914285714285714;0,829333333333333
"rf16";"mccv";"tttest";25;"rfCMA";0,384545454545455;0,0771428571428571;0,866666666666667
"scDA16";"mccv";"tttest";25;"scdaCMA";0,444545454545455;0,151428571428571;0,744
"svm16";"mccv";"tttest";25;"svmCMA";0,416363636363636;0,177142857142857;0,773333333333333
"DLDA17";"mccv";"rfe";2;"dldaCMA";0,387272727272727;0,137142857142857;0,834666666666667
"knn17";"mccv";"rfe";2;"knnCMA";0,397272727272727;0,157142857142857;0,810666666666667
"rf17";"mccv";"rfe";2;"rfCMA";0,397272727272727;0,18;0,8
"scDA17";"mccv";"rfe";2;"scdaCMA";0,343636363636364;0,0371428571428571;0,945333333333333
"svm17";"mccv";"rfe";2;"svmCMA";0,327272727272727;0,02;0,977333333333333
"DLDA18";"mccv";"rfe";5;"dldaCMA";0,417272727272727;0,205714285714286;0,758666666666667
"knn18";"mccv";"rfe";5;"knnCMA";0,41;0,134285714285714;0,802666666666667
"rf18";"mccv";"rfe";5;"rfCMA";0,391818181818182;0,174285714285714;0,810666666666667
"scDA18";"mccv";"rfe";5;"scdaCMA";0,371818181818182;0,108571428571429;0,870666666666667
"svm18";"mccv";"rfe";5;"svmCMA";0,36;0,0542857142857143;0,913333333333333
"DLDA19";"mccv";"rfe";10;"dldaCMA";0,428181818181818;0,231428571428571;0,730666666666667
"knn19";"mccv";"rfe";10;"knnCMA";0,422727272727273;0,148571428571429;0,777333333333333
"rf19";"mccv";"rfe";10;"rfCMA";0,371818181818182;0,171428571428571;0,841333333333333
"scDA19";"mccv";"rfe";10;"scdaCMA";0,401818181818182;0,122857142857143;0,82
"svm19";"mccv";"rfe";10;"svmCMA";0,415454545454545;0,137142857142857;0,793333333333333
"DLDA20";"mccv";"rfe";25;"dldaCMA";0,434545454545455;0,251428571428571;0,712
"knn20";"mccv";"rfe";25;"knnCMA";0,409090909090909;0,162857142857143;0,790666666666667
"rf20";"mccv";"rfe";25;"rfCMA";0,355454545454545;0,08;0,908
"scDA20";"mccv";"rfe";25;"scdaCMA";0,411818181818182;0,194285714285714;0,772
"svm20";"mccv";"rfe";25;"svmCMA";0,429090909090909;0,157142857142857;0,764
"DLDA21";"mccv";"lasso";2;"dldaCMA";0,398181818181818;0,231428571428571;0,774666666666667
"knn21";"mccv";"lasso";2;"knnCMA";0,402727272727273;0,228571428571429;0,769333333333333
"rf21";"mccv";"lasso";2;"rfCMA";0,405454545454545;0,251428571428571;0,754666666666667
"scDA21";"mccv";"lasso";2;"scdaCMA";0,377272727272727;0,177142857142857;0,830666666666667
"svm21";"mccv";"lasso";2;"svmCMA";0,390909090909091;0,228571428571429;0,786666666666667
"DLDA22";"mccv";"lasso";5;"dldaCMA";0,400909090909091;0,24;0,766666666666667
"knn22";"mccv";"lasso";5;"knnCMA";0,399090909090909;0,185714285714286;0,794666666666667
"rf22";"mccv";"lasso";5;"rfCMA";0,401818181818182;0,188571428571429;0,789333333333333
"scDA22";"mccv";"lasso";5;"scdaCMA";0,388181818181818;0,202857142857143;0,802666666666667
"svm22";"mccv";"lasso";5;"svmCMA";0,407272727272727;0,225714285714286;0,764
"DLDA23";"mccv";"lasso";10;"dldaCMA";0,418181818181818;0,208571428571429;0,756
"knn23";"mccv";"lasso";10;"knnCMA";0,403636363636364;0,162857142857143;0,798666666666667
"rf23";"mccv";"lasso";10;"rfCMA";0,381818181818182;0,131428571428571;0,845333333333333
"scDA23";"mccv";"lasso";10;"scdaCMA";0,395454545454545;0,182857142857143;0,801333333333333
"svm23";"mccv";"lasso";10;"svmCMA";0,412727272727273;0,2;0,768
"DLDA24";"mccv";"lasso";25;"dldaCMA";0,416363636363636;0,208571428571429;0,758666666666667
"knn24";"mccv";"lasso";25;"knnCMA";0,398181818181818;0,154285714285714;0,810666666666667
"rf24";"mccv";"lasso";25;"rfCMA";0,382727272727273;0,128571428571429;0,845333333333333
"scDA24";"mccv";"lasso";25;"scdaCMA";0,396363636363636;0,185714285714286;0,798666666666667
"svm24";"mccv";"lasso";25;"svmCMA";0,418181818181818;0,194285714285714;0,762666666666667
